,site2
42,0.685
43,0.52
44,0.615
45,0.475
46,0.85
47,0.8400000000000001
48,0.585
49,0.96
50,0.41
51,0.6925
52,0.48
53,0.7749999999999999
54,0.8200000000000001
55,0.525
56,0.51
57,0.635
58,0.49
59,0.505
60,0.49
61,0.975
62,0.635
63,0.7849999999999999
64,0.76
65,0.55
66,0.625
67,0.525
68,0.595
69,0.41
70,0.4549999999999999
71,0.835
72,0.145
73,0.635
74,0.3
75,0.725
76,0.605
77,0.62
78,0.415
79,0.635
80,0.81
81,0.63
82,0.505
83,0.71
84,0.655
85,0.72
86,0.755
87,0.665
88,0.655
89,0.585
90,0.55
91,0.825
92,0.2
93,0.96
94,0.175
95,0.485
96,0.64
97,0.355
98,0.42
99,0.62
100,0.5
101,0.845
102,0.24
