,site2,site3,site6,site8,site9,site10,site11,site12,all site average,all site std,all site average (weighted)
"(0.0001,5-3)",0.5661429872495446,0.7110779680063459,0.7028793610760823,0.658125726087518,0.6689317228600073,0.666758114059258,0.6389257063132194,0.7137704918032787,0.6658265096819068,0.045345209047581214,0.6792158009596971
"(0.0001,5-4)",0.6451502732240436,0.759585564295787,0.7450189155107189,0.7002958961781733,0.7289097809483317,0.7164128502355269,0.7171259155912105,0.6413114754098359,0.7067263339242035,0.04041437051720702,0.7283256724442249
"(0.0001,0)",0.7114071038251365,0.7600995807994008,0.7283522488440523,0.7102749451400542,0.7220332488202287,0.7175150109497271,0.7323101964887804,0.49672131147540977,0.6973392057928487,0.07726034008722472,0.7280351523135592
"(custom,0)",0.7159608378870673,0.7596210255817029,0.7312316099201345,0.7088682798635039,0.7209046576694329,0.713839544568025,0.7308917567724685,0.5131147540983607,0.6993040582950869,0.07191012940025483,0.7275423769963407
"(custom,5-4)",0.64867941712204,0.7583692077604444,0.7467423287095418,0.698604588045662,0.7261801651417563,0.7126079997699838,0.714870363911173,0.6537704918032786,0.7074780702829849,0.03705206587354734,0.7270117674661926
"(custom1,5-4)",0.730988160291439,0.7228466392340913,0.6612442202606138,0.6802782218426985,0.6910836049825988,0.7088175253137563,0.7052203232182305,0.47442622950819674,0.6718631155814531,0.07754655734003407,0.6978708490016626
"(10,custom,5-4)",0.6476548269581056,0.757980166468359,0.7464691046658259,0.6986939526632311,0.7254295207949482,0.7114746910355997,0.7132193930938262,0.6540983606557376,0.7068775020419542,0.036987230783677556,0.7264640234578023
"(per,custom,5-4)",0.651639344262295,0.7584614759606909,0.7409205548549811,0.6946791644739239,0.7263113966709186,0.7194605642104457,0.7043367050342985,0.640983606557377,0.7045991015031163,0.03850784218477921,0.7261196254362463
"(per,1-4,5-4)",0.6358151183970856,0.7594981160761501,0.7397646069777217,0.6962777981882152,0.729513445982478,0.7228604904135978,0.7161027787466575,0.6409836065573771,0.7051019951674105,0.04210469162390693,0.727894755436045
"(per,1-4,custom)",0.63683970856102,0.7595501030098711,0.7396910466582599,0.696145406162187,0.7295134459824781,0.7225921382397055,0.7155912103243808,0.6426229508196721,0.7053182512196968,0.04155728532604546,0.7278821905709795
